"","ENSEMBLE","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"14","ENSG00000158258","CLSTN2",60790.5563466112,-3.1165355113811,0.0861384821311203,-36.1801053989553,1.25139636817993e-286,2.9414965488618e-283
"22","ENSG00000182968","SOX1",24653.3183162174,-3.33292669923243,0.101726344082186,-32.7625581720172,2.01149996958833e-235,3.00883822723695e-232
"32","ENSG00000163630","SYNPR",23045.2034685046,-5.75489711830346,0.195082138301671,-29.4866011932584,4.27615238397983e-191,4.39748820787525e-188
"60","ENSG00000141968","VAV1",23015.7656516549,-3.69927172837953,0.142754981934168,-25.9115713200497,4.93259262358049e-148,2.70536263427978e-145
"68","ENSG00000166501","PRKCB",195023.598625517,-3.22062784334616,0.128331388664074,-25.0956800375029,5.54380457324195e-139,2.68287530729774e-136
"69","ENSG00000064300","NGFR",80146.0861439095,-4.39694283938051,0.176500529066156,-24.9091621385581,5.92005786762973e-137,2.80141894080169e-134
"79","ENSG00000105369","CD79A",11524.6354917293,-5.20081869502637,0.214344373571603,-24.2499970144892,6.61264225721794e-130,2.75454216962694e-127
"98","ENSG00000157214","STEAP2",50701.3502216654,-2.19829557866359,0.0954237556196511,-23.0370384640774,1.9840002814083e-117,6.66219196536576e-115
"100","ENSG00000227932","RP13-16H11.9",10132.7147740579,-2.85448690331862,0.124338264932285,-22.9562677237415,1.27568830542883e-116,4.19803507550519e-114
"104","ENSG00000079101","CLUL1",12232.8148997966,-3.3634591473245,0.148359138942917,-22.6690958395062,9.04323537335926e-114,2.86148836217795e-111
